Index,Gene
1246,IMPDH2
1247,TSPY1
1248,ZHX1-C8ORF76
1249,TAS2R40
1250,KIAA0494
1251,POP5
1252,DISC1
1253,CBR4
1254,PPM1L
1255,HIST1H3F
1256,FAM75D4
1257,P2RY1
1258,SSRP1
1259,C19ORF69
1260,KIF15
1261,H2AFB3
1262,KIAA0391
1263,IDO1
1264,ARNT2
1265,MYB
1266,SLC39A6
1267,C3ORF18
1268,CYTH3
1269,ETFDH
1270,CARM1
1271,ZNF341
1272,BTD
1273,CUEDC2
1274,NPRL2
1275,C9ORF72
1276,KIAA1644
1277,MPZL3
1278,BEST1
1279,PI15
1280,FBXO42
1281,FAM149B1
1282,USH2A
1283,NSUN6
1284,C10ORF62
1285,ALPP
1286,PIK3CA
1287,SOD1
1288,NGEF
1289,DUOX2
1290,FAM210A
1291,UNC5B
1292,MIB1
1293,TRPS1
1294,UPF3B
1295,MAP3K5
1296,TMEM70
1297,ZNF720
1298,MSANTD4
1299,TREX2
1300,NR4A3
1301,HELZ
1302,PAX6
1303,FAM48B1
1304,LRCH2
1305,EMX2
1306,FAM199X
1307,SRXN1
1308,ISOC1
1309,TARBP2
1310,HIST1H2BB
1311,AMOTL1
1312,LGI1
1313,PHEX
1314,BSCL2
1315,PLIN2
1316,TAS2R42
1317,TMEM161B
1318,HLA-DPB1
1319,RHOT2
1320,GNA15
1321,ARHGAP40
1322,APC2
1323,FER
1324,MUM1L1
1325,OR2L3
1326,SIRPB1
1327,NNAT
1328,GLIPR2
1329,MRPS36
1330,XKR9
1331,NRSN2
1332,SIX6
1333,LOC646498
1334,TRAPPC2
1335,LRCH3
1336,KIF4A
1337,LOC388813
1338,SCAMP5
1339,LPCAT1
1340,MGAT3
1341,LRRC4
1342,CALCA
1343,EDEM1
1344,LCA5L
1345,ST18
1346,UPP2
1347,CLDN9
1348,MT2A
1349,CYP2A7
1350,SLC46A3
1351,KRTAP21-1
1352,SLC14A2
1353,RAPGEF6
1354,C8ORF83
1355,FKBP5
1356,WNT2B
1357,GBA
1358,FOXA3
1359,CNDP2
1360,RNF215
1361,CA5A
1362,CD36
1363,SAA2
1364,H2AFY2
1365,ARHGAP36
1366,FAM160B2
1367,GALNTL6
1368,RALBP1
1369,EFCAB4B
1370,LCE1C
1371,N6AMT1
1372,NISCH
1373,BPGM
1374,UBXN2B
1375,MATN2
1376,AURKAIP1
1377,RPL14
1378,TRIM37
1379,PALMD
1380,SUMF1
1381,WSCD2
1382,OR7A5
1383,TCF21
1384,CDC73
1385,ZNF658
1386,CD5
1387,PPP1R26
1388,RNF112
1389,KCNJ2
1390,FBXO31
1391,PPIL4
1392,SSTR4
1393,NGRN
1394,ANKLE1
1395,GPBP1
1396,SPDYE3
1397,RHEBL1
1398,SNTG1
1399,VIPR1
1400,ERCC1
1401,ZNF676
1402,SYT8
1403,KCNF1
1404,EPHA1
1405,NIPSNAP3A
1406,PGM5
1407,MRVI1
1408,PRRC1
1409,LIPJ
1410,PER2
1411,RFESD
1412,LOC728393
1413,USP54
1414,SLC10A3
1415,C6ORF118
1416,TMEM151A
1417,GH1
1418,LRRTM1
1419,NPHP3
1420,ZNF146
1421,CD24
1422,CYP3A43
1423,KRT33A
1424,KLC4
1425,CYB5D2
1426,RAD51D
1427,CNPPD1
1428,IKZF1
1429,HAX1
1430,BTN2A1
1431,KIF9
1432,MRPL12
1433,FREM3
1434,HES6
1435,CRYGC
1436,TLE6
1437,WISP2
1438,ZNF688
1439,FRMD8
1440,TXNDC5
1441,ERMAP
1442,KCNN2
1443,DPYSL5
1444,ANK2
1445,CIT
1446,CCDC12
1447,LRTM1
1448,TMEM108
1449,MRFAP1L1
1450,ADAR
1451,ZNF580
1452,LOC100288520
1453,FTCD
1454,SPARC
1455,HUS1
1456,FZD6
1457,C15ORF42
1458,CD4
1459,PZP
1460,CELA2A
1461,OTUD1
1462,USP4
1463,GON4L
1464,D4S234E
1465,USP31
1466,ACRBP
1467,CBX8
1468,LRIT1
1469,SAMD1
1470,TGOLN2
1471,EPHB4
1472,GPX1
1473,RBMS3
1474,PARVB
1475,ZNF860
1476,NKRF
1477,FBXO4
1478,TMEM220
1479,OTUB1
1480,MLLT11
1481,SPATA20
1482,OR11G2
1483,LUZP2
1484,FAM65A
1485,KRTAP10-1
1486,ZNF729
1487,FBXO30
1488,FOXN2
1489,GATAD2A
1490,NEUROG2
1491,SURF1
1492,GTPBP4
1493,ZDHHC5
1494,DUSP11
1495,HAUS5
1496,PITRM1
1497,ARL2BP
1498,TGS1
1499,SKAP2
1500,PHKG1
1501,ZIC2
1502,HTR2A
1503,SLC1A1
1504,RTN4R
1505,SLC41A2
1506,MPRIP
1507,UBE3A
1508,OLFML1
1509,ADAMTS3
1510,ABCC5
1511,B3GAT1
1512,KIF4B
1513,APOC4
1514,NDUFB10
1515,ETV4
1516,HMBS
1517,INTS6
1518,WIPI1
1519,ATAD3B
1520,C8ORFK29
1521,FAXC
1522,RAB12
1523,AFAP1L1
1524,FAM129C
1525,FKBP10
1526,LOC120824
1527,ZNF436
1528,ABCG4
1529,EPAS1
1530,ZNF671
1531,C2
1532,KIAA0513
1533,RAP1GAP
1534,MUSTN1
1535,ZKSCAN3
1536,IQUB
1537,TRIM73
1538,SLC16A6
1539,FANCF
1540,NDUFAF3
1541,CDKN1A
1542,FASTKD3
1543,BCL2L14
1544,CALY
1545,C11ORF67
1546,FLJ23152
1547,LOX
1548,ELTD1
1549,SET
1550,PRLHR
1551,TROVE2
1552,SLC25A30
1553,TP53RK
1554,FAM70A
1555,EMID2
1556,PRPF3
1557,GRM1
1558,KPNA5
1559,ATAD3C
1560,AMN
1561,ATE1
1562,MEX3B
1563,NKX2-1
1564,KRTAP5-9
1565,ARFGAP1
1566,KRTAP19-1
1567,G6PC
1568,SENP7
1569,RNF103-CHMP3
1570,ABT1
1571,TAS2R10
1572,ZPLD1
1573,C9ORF69
1574,PPAP2A
1575,GREM1
1576,SHCBP1
1577,C4A
1578,PSMB6
1579,PTPN4
1580,TMEM54
1581,PODXL2
1582,ECHDC1
1583,PHACTR2
1584,FIP1L1
1585,SNAPC5
1586,TIGIT
1587,KIAA0913
1588,RAD51C
1589,MPHOSPH10
1590,RASSF8
1591,ARHGEF12
1592,PRADC1
1593,OR1C1
1594,SRSF5
1595,POMP
1596,TSPAN6
1597,KRTAP10-12
1598,FANK1
1599,CARTPT
1600,RAPGEF1
1601,OR4K15
1602,FXYD6
1603,LOC100293534
1604,CARKD
1605,GAL3ST2
1606,CRX
1607,PVRL3
1608,DAZ2
1609,ZMYM3
1610,PTCHD2
1611,TYW5
1612,PTRH1
1613,TNFRSF13C
1614,FOXF2
1615,MTA2
1616,PMP22
1617,C22ORF40
1618,WDR41
1619,YIPF7
1620,ODF3B
1621,PIM1
1622,FAM113B
1623,BTBD17
1624,HABP2
1625,KCNK12
1626,TMEM120B
1627,ADCK3
1628,TAB3
1629,FAM47E
1630,FAM35A
1631,OR2A4
1632,RRP9
1633,UBTD2
1634,VKORC1
1635,GDAP2
1636,RGS19
1637,LILRA2
1638,PVR
1639,PGBD4
1640,OR2A2
1641,DPH2
1642,ONECUT3
1643,GPR22
1644,PPP1R18
1645,DNAJB8
1646,LCMT2
1647,GLYATL1
1648,DAK
1649,LOC100507050
1650,C7ORF63
1651,MKX
1652,MINPP1
1653,ITPRIP
1654,MYH2
1655,TMEM231
1656,SAA4
